| Track ID | Collection Name | Track Name | Filename | Filepath | Performers | Year | Region |
| col_2_track_27 | Gigo's Gundi | Mgzavruli | Erkomaishvilebi_-_Guruli_Mgzavruli.mp3 | Gigo's Gundi/Erkomaishvilebi_-_Guruli_Mgzavruli.mp3 | Gigo Erkomaishvili's Choir | 1907 | Guria |
| col_2_track_7 | Gigo's Gundi | Makruli | Erkomaishvilebi_-__Makruli_Guruli.mp3 | Gigo's Gundi/Erkomaishvilebi_-__Makruli_Guruli.mp3 | Gigo Erkomaishvili's Choir | 1907 | Guria |
| col_2_track_5 | Gigo's Gundi | Mosalkheni | Erkomaishvilebi_-_Mosalkheni.mp3 | Gigo's Gundi/Erkomaishvilebi_-_Mosalkheni.mp3 | Gigo Erkomaishvili's Choir | 1907 | Guria |
| col_2_track_25 | Gigo's Gundi | Chari Rama | Erkomaishvilebi_-_Chari_Rama.mp3 | Gigo's Gundi/Erkomaishvilebi_-_Chari_Rama.mp3 | Gigo Erkomaishvili's Choir | 1907 | Guria |
| col_2_track_21 | Gigo's Gundi | Dideba | Simonishvili_-_Dideba.mp3 | Gigo's Gundi/Simonishvili_-_Dideba.mp3 | Gigo Erkomaishvili's Choir | 1907 | Guria |
| col_2_track_26 | Gigo's Gundi | Acharuli Makruli | Erkomaishvilebi_-_Acharuli_Makruli.mp3 | Gigo's Gundi/Erkomaishvilebi_-_Acharuli_Makruli.mp3 | Gigo Erkomaishvili's Choir | 1907 | Guria |
| col_2_track_12 | Gigo's Gundi | Deli Dela | Erkomaishvilebi_-_Deli_Dela.mp3 | Gigo's Gundi/Erkomaishvilebi_-_Deli_Dela.mp3 | Gigo Erkomaishvili's Choir | 1907 | Guria |
| col_2_track_11 | Gigo's Gundi | Dzveli Abadelia | Erkomaishvilebi_-_Dzveli_Abadelia.mp3 | Gigo's Gundi/Erkomaishvilebi_-_Dzveli_Abadelia.mp3 | Gigo Erkomaishvili's Choir | 1907 | Guria |
| col_2_track_22 | Gigo's Gundi | Kuchka Bedineri | Erkomaishvilebi_-_Kuchkha_Bedineri (1).mp3 | Gigo's Gundi/Erkomaishvilebi_-_Kuchkha_Bedineri (1).mp3 | Gigo Erkomaishvili's Choir | 1907 | Guria |
| col_2_track_1 | Gigo's Gundi | Voisa | Erkomaishvilebi_-_Voisa.mp3 | Gigo's Gundi/Erkomaishvilebi_-_Voisa.mp3 | Gigo Erkomaishvili's Choir | 1907 | Guria |
